direction,group,greenmean,greensd,redmean,redsd,bluemean,bluesd,samplesize,file
8,black,0.320756385,0.025862539,0.28992899,0.026737828,0.38342404,0.027408691,6431,IMG_4187.JPG
8,darkblue,0.388996721,0.073233755,0.325176969,0.079890153,0.635574334,0.055999662,5346,IMG_4187.JPG
8,darkgreen,0.487525111,0.029251184,0.344081067,0.033184188,0.446796901,0.035907981,4851,IMG_4187.JPG
8,darkred,0.371034298,0.045574182,0.510755196,0.032542953,0.436997875,0.047805703,6431,IMG_4187.JPG
8,lightblue,0.739479395,0.014853314,0.466417885,0.016756522,0.997669105,0.00888575,5123,IMG_4187.JPG
8,lightgreen,0.744018956,0.01806366,0.514091479,0.020768238,0.516083287,0.020632992,4361,IMG_4187.JPG
8,pink,0.716284206,0.011261943,0.850687967,0.011298352,0.91149152,0.010079525,5096,IMG_4187.JPG
8,purple,0.424494871,0.09276385,0.473838874,0.072845326,0.704188293,0.057697299,7616,IMG_4187.JPG
8,white,0.900813229,0.006767073,0.855679046,0.009202116,0.984092347,0.007072824,868,IMG_4187.JPG
8,yellow,0.860891332,0.011233173,0.770585491,0.013400516,0.395861955,0.017743557,6431,IMG_4187.JPG
7,black,0.348855574,0.033955574,0.317161055,0.033774438,0.399726813,0.036383398,6431,IMG_4188.JPG
7,darkblue,0.426060166,0.084195798,0.367828613,0.09212968,0.632323232,0.062046446,5346,IMG_4188.JPG
7,darkgreen,0.469239817,0.027153575,0.333440851,0.03355041,0.424339433,0.034950465,4851,IMG_4188.JPG
7,darkred,0.353439986,0.054208761,0.48124678,0.037102595,0.404613682,0.0581664,6431,IMG_4188.JPG
7,lightblue,0.703853823,0.01516752,0.427290229,0.021342689,0.969853755,0.01367207,5123,IMG_4188.JPG
7,lightgreen,0.718494139,0.014680439,0.497271268,0.018242707,0.500616426,0.01950689,4361,IMG_4188.JPG
7,pink,0.691745929,0.014136753,0.819019146,0.012734463,0.872523625,0.011864444,5096,IMG_4188.JPG
7,purple,0.413111715,0.093685439,0.458958951,0.072000682,0.667930775,0.063575188,7616,IMG_4188.JPG
7,white,0.87552634,0.016761378,0.819906027,0.019207521,0.980514141,0.006961508,868,IMG_4188.JPG
7,yellow,0.826427141,0.011724858,0.733279672,0.013484943,0.371119669,0.018669439,6431,IMG_4188.JPG
