DATE	TIME	TEMP	RH	WINDSPD	WINDIR	GLOBAL	UVA	UVB	VISIBLE	RAIN	PRESS	MAXGUST	GUSTIME
dd/mm/yy	HH:MM:SS	oC	%	m/s	degrees	W/m2	W/m2	W/m2	micromol/m2s	mm	hPa	m/s	hhmm
---------------------------------------------------------------------------------------------
01/07/2014	00:00:00	12.3	54	2.9	271	-0.2	0.0	0.01	-1	0.0	987	4.0	2358
01/07/2014	00:05:00	12.2	55	2.7	276	-0.2	0.0	0.01	-1	0.0	987	3.7	0
01/07/2014	00:10:00	12.1	55	2.9	246	-0.2	0.0	0.01	-1	0.0	988	4.1	7
01/07/2014	00:15:00	11.9	56	3.0	228	-0.1	0.0	0.01	-1	0.0	988	5.6	11
01/07/2014	00:20:00	11.9	56	2.5	240	-0.1	0.0	0.01	-1	0.0	988	4.0	17
01/07/2014	00:25:00	12.0	56	2.1	267	-0.0	0.0	0.01	-1	0.0	988	3.5	22
01/07/2014	00:30:00	12.0	55	2.0	257	-0.0	0.0	0.01	-1	0.0	988	3.0	28
01/07/2014	00:35:00	12.0	55	2.3	252	-0.0	-0.0	0.01	-1	0.0	988	3.4	30
01/07/2014	00:40:00	12.1	55	2.7	271	-0.1	0.0	0.01	-1	0.0	988	4.1	37
01/07/2014	00:45:00	11.9	56	1.9	259	-0.1	0.0	0.01	-1	0.0	988	3.3	41
01/07/2014	00:50:00	11.8	56	2.4	268	-0.1	0.0	0.01	-1	0.0	988	3.7	46
01/07/2014	00:55:00	11.6	57	2.0	282	-0.2	0.0	0.01	-1	0.0	988	3.1	51
01/07/2014	01:00:00	11.4	58	1.9	283	-0.1	0.0	0.01	-1	0.0	988	2.8	58
01/07/2014	01:05:00	11.1	60	1.9	299	-0.1	0.0	0.01	-1	0.0	988	2.6	102
01/07/2014	01:10:00	10.5	62	1.9	290	-0.1	-0.0	0.01	-1	0.0	988	3.1	108
01/07/2014	01:15:00	10.6	61	2.1	289	-0.1	0.0	0.01	-1	0.0	988	3.3	113
01/07/2014	01:20:00	10.7	61	2.1	279	-0.0	0.0	0.01	-1	0.0	988	2.9	115
01/07/2014	01:25:00	10.8	60	2.2	276	0.0	-0.0	0.01	-1	0.0	988	3.4	124
01/07/2014	01:30:00	10.8	60	2.1	282	-0.2	0.0	0.01	-1	0.0	988	3.4	125
01/07/2014	01:35:00	10.7	61	1.7	287	-0.1	-0.0	0.01	-1	0.0	988	2.8	134
01/07/2014	01:40:00	10.5	61	2.2	279	-0.1	0.0	0.01	-1	0.0	988	3.5	140
01/07/2014	01:45:00	10.6	61	2.2	260	-0.0	0.0	0.01	-1	0.0	988	3.5	140
01/07/2014	01:50:00	10.8	61	2.6	250	-0.2	0.0	0.01	-1	0.0	988	4.6	149
01/07/2014	01:55:00	11.0	60	2.7	257	-0.1	-0.0	0.01	-1	0.0	988	4.7	153
01/07/2014	02:00:00	11.0	60	2.5	246	-0.1	0.0	0.01	-1	0.0	989	4.2	157
01/07/2014	02:05:00	11.0	60	2.8	260	-0.1	-0.0	0.01	-1	0.0	988	4.2	201
01/07/2014	02:10:00	10.8	61	2.3	259	-0.1	0.0	0.01	-1	0.0	989	3.7	208
01/07/2014	02:15:00	10.7	62	2.6	252	-0.1	-0.0	0.01	-1	0.0	989	4.8	215
01/07/2014	02:20:00	10.5	63	3.5	242	-0.1	0.0	0.01	-1	0.0	989	5.3	218
01/07/2014	02:25:00	10.4	64	3.4	237	-0.1	-0.0	0.01	-1	0.0	989	6.1	221
01/07/2014	02:30:00	10.3	64	3.8	248	-0.2	0.0	0.01	-1	0.0	989	8.1	225
01/07/2014	02:35:00	10.2	64	3.3	250	0.0	-0.0	0.01	-1	0.0	989	6.0	232
01/07/2014	02:40:00	10.2	65	3.3	235	-0.1	-0.0	0.01	-1	0.0	989	5.6	239
01/07/2014	02:45:00	10.1	65	3.3	235	-0.2	0.0	0.01	-1	0.0	989	7.1	241
01/07/2014	02:50:00	10.1	65	2.4	243	-0.2	0.0	0.01	-1	0.0	989	3.9	247
