"CreateDate5","SourceFile","direction","ISO","Aperture","LightValue","ShutterSpeed","CreateDate","GLOBAL","UVA","UVB","VISIBLE","RAIN"
"2014:07:02 16:35:00","IMG_4192.JPG",3,100,5,8.6,"1/15","2014:07:02 16:36:25",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4189.JPG",4,100,5,8.6,"1/15","2014:07:02 16:35:00",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4194.JPG",9,100,5,8.6,"1/15","2014:07:02 16:37:03",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4190.JPG",1,100,5,8.6,"1/15","2014:07:02 16:35:46",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4191.JPG",2,100,5,8.6,"1/15","2014:07:02 16:36:00",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4193.JPG",6,100,5,8.6,"1/15","2014:07:02 16:36:46",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4188.JPG",7,100,5,8.6,"1/15","2014:07:02 16:34:45",9.1,0.2,0.02,15,0.2
"2014:07:02 16:35:00","IMG_4187.JPG",8,100,5,8.6,"1/15","2014:07:02 16:34:19",9.1,0.2,0.02,15,0.2
"2014:07:03 16:35:00","IMG_4199.JPG",8,100,8,10.3,"1/20","2014:07:03 16:35:47",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4201.JPG",6,100,8,10.3,"1/20","2014:07:03 16:36:38",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4200.JPG",9,100,8,10.3,"1/20","2014:07:03 16:36:13",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4204.JPG",1,100,8,10.3,"1/20","2014:07:03 16:37:37",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4205.JPG",4,100,8,10.3,"1/20","2014:07:03 16:37:58",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4202.JPG",3,100,8,10.3,"1/20","2014:07:03 16:37:02",6.3,0.4,0.02,12,0
"2014:07:03 16:35:00","IMG_4203.JPG",2,100,8,10.3,"1/20","2014:07:03 16:37:26",6.3,0.4,0.02,12,0
"2014:07:03 16:40:00","IMG_4206.JPG",7,100,8,10.3,"1/20","2014:07:03 16:38:23",6.4,0.4,0.02,13,0
"2014:07:12 14:50:00","IMG_4208.JPG",8,100,8,13,"1/125","2014:07:12 14:48:30",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4209.JPG",9,100,8,13,"1/125","2014:07:12 14:48:53",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4210.JPG",6,100,8,13,"1/125","2014:07:12 14:49:14",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4211.JPG",3,100,8,13,"1/125","2014:07:12 14:49:49",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4212.JPG",2,100,8,13,"1/125","2014:07:12 14:50:03",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4213.JPG",1,100,8,13,"1/125","2014:07:12 14:50:25",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4214.JPG",4,100,8,13,"1/125","2014:07:12 14:50:40",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4215.JPG",7,100,8,13,"1/125","2014:07:12 14:50:55",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4219.JPG",3,100,8,13.6,"1/200","2014:07:12 14:52:51",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4216.JPG",8,100,8,13.6,"1/200","2014:07:12 14:51:51",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4217.JPG",9,100,8,13.6,"1/200","2014:07:12 14:52:15",233.6,4.7,0.23,363,0
"2014:07:12 14:50:00","IMG_4218.JPG",6,100,8,13.6,"1/200","2014:07:12 14:52:30",233.6,4.7,0.23,363,0
"2014:07:12 14:55:00","IMG_4222.JPG",4,100,8,13.6,"1/200","2014:07:12 14:53:56",142.6,4.1,0.21,238,0
"2014:07:12 14:55:00","IMG_4223.JPG",7,100,8,13.6,"1/200","2014:07:12 14:54:12",142.6,4.1,0.21,238,0
"2014:07:12 14:55:00","IMG_4221.JPG",1,100,8,13.6,"1/200","2014:07:12 14:53:23",142.6,4.1,0.21,238,0
"2014:07:12 14:55:00","IMG_4220.JPG",2,100,8,13.6,"1/200","2014:07:12 14:53:06",142.6,4.1,0.21,238,0
"2014:07:12 15:10:00","IMG_4230.JPG",8,100,8,15,"1/500","2014:07:12 15:10:53",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4224.JPG",8,100,8,13,"1/125","2014:07:12 15:10:08",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4225.JPG",8,100,8,13.3,"1/160","2014:07:12 15:10:17",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4240.JPG",9,100,8,15.3,"1/640","2014:07:12 15:12:19",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4228.JPG",8,100,8,14.3,"1/320","2014:07:12 15:10:40",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4226.JPG",8,100,8,13.6,"1/200","2014:07:12 15:10:25",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4241.JPG",9,100,8,15.6,"1/800","2014:07:12 15:12:26",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4232.JPG",8,100,8,15.6,"1/800","2014:07:12 15:11:06",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4233.JPG",9,100,8,13,"1/125","2014:07:12 15:11:27",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4229.JPG",8,100,8,14.6,"1/400","2014:07:12 15:10:46",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4231.JPG",8,100,8,15.3,"1/640","2014:07:12 15:10:59",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4236.JPG",9,100,8,14,"1/250","2014:07:12 15:11:49",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4237.JPG",9,100,8,14.3,"1/320","2014:07:12 15:11:57",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4238.JPG",9,100,8,14.6,"1/400","2014:07:12 15:12:04",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4239.JPG",9,100,8,15,"1/500","2014:07:12 15:12:11",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4227.JPG",8,100,8,14,"1/250","2014:07:12 15:10:33",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4234.JPG",9,100,8,13.3,"1/160","2014:07:12 15:11:36",166.8,3.6,0.17,260,0
"2014:07:12 15:10:00","IMG_4235.JPG",9,100,8,13.6,"1/200","2014:07:12 15:11:43",166.8,3.6,0.17,260,0
"2014:07:12 15:15:00","IMG_4251.JPG",3,100,8,13,"1/125","2014:07:12 15:14:42",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4243.JPG",6,100,8,13.3,"1/160","2014:07:12 15:13:24",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4246.JPG",6,100,8,14.3,"1/320","2014:07:12 15:13:44",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4247.JPG",6,100,8,14.6,"1/400","2014:07:12 15:13:51",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4244.JPG",6,100,8,13.6,"1/200","2014:07:12 15:13:30",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4245.JPG",6,100,8,14,"1/250","2014:07:12 15:13:36",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4249.JPG",6,100,8,15.3,"1/640","2014:07:12 15:14:04",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4250.JPG",6,100,8,15.6,"1/800","2014:07:12 15:14:11",105.7,3.5,0.17,181,0
"2014:07:12 15:15:00","IMG_4263.JPG",2,100,8,14,"1/250","2014:07:12 15:16:44",105.7,3.5,0.17,181,0
